geo,geo_level,TIME_PERIOD,unit,gdp_pc_index,obs_flag,conf_status
FRL,NUTS 1,2023,PPS_HAB_EU27_2020,97,p,
FRM,NUTS 1,2023,PPS_HAB_EU27_2020,86,p,
FRY,NUTS 1,2023,PPS_HAB_EU27_2020,58,p,
HR0,NUTS 1,2023,PPS_HAB_EU27_2020,78,,
HU1,NUTS 1,2023,PPS_HAB_EU27_2020,120,,
HU2,NUTS 1,2023,PPS_HAB_EU27_2020,61,,
HU3,NUTS 1,2023,PPS_HAB_EU27_2020,50,,
IE0,NUTS 1,2023,PPS_HAB_EU27_2020,218,,
ITC,NUTS 1,2023,PPS_HAB_EU27_2020,122,,
ITF,NUTS 1,2023,PPS_HAB_EU27_2020,66,,
ITG,NUTS 1,2023,PPS_HAB_EU27_2020,63,,
ITH,NUTS 1,2023,PPS_HAB_EU27_2020,116,,
ITI,NUTS 1,2023,PPS_HAB_EU27_2020,106,,
LT0,NUTS 1,2023,PPS_HAB_EU27_2020,86,,
LU0,NUTS 1,2023,PPS_HAB_EU27_2020,248,,
LV0,NUTS 1,2023,PPS_HAB_EU27_2020,70,,
ME0,NUTS 1,2023,PPS_HAB_EU27_2020,52,,
MK0,NUTS 1,2023,PPS_HAB_EU27_2020,41,e,
MT0,NUTS 1,2023,PPS_HAB_EU27_2020,109,,
NL1,NUTS 1,2023,PPS_HAB_EU27_2020,103,,
NL2,NUTS 1,2023,PPS_HAB_EU27_2020,110,,
NL3,NUTS 1,2023,PPS_HAB_EU27_2020,146,,
NL4,NUTS 1,2023,PPS_HAB_EU27_2020,127,,
PL2,NUTS 1,2023,PPS_HAB_EU27_2020,75,,
PL4,NUTS 1,2023,PPS_HAB_EU27_2020,73,,
PL5,NUTS 1,2023,PPS_HAB_EU27_2020,77,,
PL6,NUTS 1,2023,PPS_HAB_EU27_2020,65,,
PL7,NUTS 1,2023,PPS_HAB_EU27_2020,68,,
PL8,NUTS 1,2023,PPS_HAB_EU27_2020,55,,
PL9,NUTS 1,2023,PPS_HAB_EU27_2020,121,,
PT1,NUTS 1,2023,PPS_HAB_EU27_2020,81,,
PT2,NUTS 1,2023,PPS_HAB_EU27_2020,71,,
PT3,NUTS 1,2023,PPS_HAB_EU27_2020,86,,
RO1,NUTS 1,2023,PPS_HAB_EU27_2020,69,,
RO2,NUTS 1,2023,PPS_HAB_EU27_2020,51,,
RO3,NUTS 1,2023,PPS_HAB_EU27_2020,111,,
RO4,NUTS 1,2023,PPS_HAB_EU27_2020,67,,
RS1,NUTS 1,2023,PPS_HAB_EU27_2020,64,p,
RS2,NUTS 1,2023,PPS_HAB_EU27_2020,32,p,
SE1,NUTS 1,2023,PPS_HAB_EU27_2020,128,,
SE2,NUTS 1,2023,PPS_HAB_EU27_2020,102,,
SE3,NUTS 1,2023,PPS_HAB_EU27_2020,94,,
SI0,NUTS 1,2023,PPS_HAB_EU27_2020,91,,
SK0,NUTS 1,2023,PPS_HAB_EU27_2020,74,,
TR1,NUTS 1,2023,PPS_HAB_EU27_2020,108,,
TR2,NUTS 1,2023,PPS_HAB_EU27_2020,71,,
TR3,NUTS 1,2023,PPS_HAB_EU27_2020,65,,
TR4,NUTS 1,2023,PPS_HAB_EU27_2020,79,,
TR5,NUTS 1,2023,PPS_HAB_EU27_2020,88,,
TR6,NUTS 1,2023,PPS_HAB_EU27_2020,53,,
TR7,NUTS 1,2023,PPS_HAB_EU27_2020,51,,
TR8,NUTS 1,2023,PPS_HAB_EU27_2020,46,,
TR9,NUTS 1,2023,PPS_HAB_EU27_2020,41,,
TRA,NUTS 1,2023,PPS_HAB_EU27_2020,38,,
TRB,NUTS 1,2023,PPS_HAB_EU27_2020,34,,
TRC,NUTS 1,2023,PPS_HAB_EU27_2020,33,,
AT,national,2023,PPS_HAB_EU27_2020,121,,
BE,national,2023,PPS_HAB_EU27_2020,118,,
BG,national,2023,PPS_HAB_EU27_2020,63,,
CY,national,2023,PPS_HAB_EU27_2020,97,,
CZ,national,2023,PPS_HAB_EU27_2020,91,,
DE,national,2023,PPS_HAB_EU27_2020,118,p,
DK,national,2023,PPS_HAB_EU27_2020,126,,
EE,national,2023,PPS_HAB_EU27_2020,80,,
EL,national,2023,PPS_HAB_EU27_2020,68,p,
ES,national,2023,PPS_HAB_EU27_2020,91,p,
FI,national,2023,PPS_HAB_EU27_2020,103,,
FR,national,2023,PPS_HAB_EU27_2020,99,p,
HR,national,2023,PPS_HAB_EU27_2020,78,,
HU,national,2023,PPS_HAB_EU27_2020,76,,
IE,national,2023,PPS_HAB_EU27_2020,218,,
IT,national,2023,PPS_HAB_EU27_2020,98,,
LT,national,2023,PPS_HAB_EU27_2020,86,,
LU,national,2023,PPS_HAB_EU27_2020,248,,
LV,national,2023,PPS_HAB_EU27_2020,70,,
ME,national,2023,PPS_HAB_EU27_2020,52,,
MK,national,2023,PPS_HAB_EU27_2020,41,e,
MT,national,2023,PPS_HAB_EU27_2020,109,,
NL,national,2023,PPS_HAB_EU27_2020,131,,
PL,national,2023,PPS_HAB_EU27_2020,77,,
PT,national,2023,PPS_HAB_EU27_2020,81,,
RO,national,2023,PPS_HAB_EU27_2020,75,,
RS,national,2023,PPS_HAB_EU27_2020,48,p,
SE,national,2023,PPS_HAB_EU27_2020,111,,
SI,national,2023,PPS_HAB_EU27_2020,91,,
SK,national,2023,PPS_HAB_EU27_2020,74,,
TR,national,2023,PPS_HAB_EU27_2020,67,,
